id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
3198,Little India,Penang,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Public Transport,Hostel,City & Urban,Sightseeing & Tours,attraction,4.4,0.0,Free,Little India,George Town,,True,0.0,Free,,5.4171825,100.339338,,OSM,Little India,Little India,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
3199,James Richardson Logan Monument,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Couple,Public Transport,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.4,0.0,Free,James Richardson Logan Monument,,,True,0.0,Free,,5.4211103,100.3398276,https://www.facebook.com/share/p/1EK7ysFzUr/,OSM,James Richardson Logan Monument,James Richardson Logan Monument,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3200,Jambatan Pulau Pinang,Penang,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Solo,Boat,Homestay,Beach & Island,Sightseeing & Tours,attraction,4.5,0.0,Free,Jambatan Pulau Pinang,,,True,0.0,Free,,5.3555062,100.3517423,http://penangbridge.com.my,OSM,Jambatan Pulau Pinang,Jambatan Pulau Pinang,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,
3201,Maragang Hill,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Maragang Hill,,,True,0.0,Free,,6.0392007,116.5857688,https://maraganghill.com.my/,OSM,Maragang Hill,Maragang Hill,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
3202,Tanjung Aru Beach,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Tanjung Aru Beach,Kota Kinabalu,,True,0.0,Free,,5.9441164,116.0440433,,OSM,Pantai Tanjung Aru,Pantai Tanjung Aru,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,canonical_place_extracted
3203,Gunung Lentang Legong,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Lentang Legong,,,True,0.0,Free,,3.2706224,101.8684244,https://www.alltrails.com/explore/recording/gunung-lentang-legong--2,OSM,Gunung Lentang Legong,Gunung Lentang Legong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3204,Pantai Batu Buruk Park 1,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Pantai Batu Buruk Park 1,Kuala Terengganu,,True,0.0,Free,,5.3221159,103.1533525,,OSM,Pantai Batu Buruk Park 1,Pantai Batu Buruk Park 1,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
3205,Rainbow Waterfall,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Rainbow Waterfall,,,True,0.0,Free,,3.9222681,102.9479842,https://www.tripadvisor.de/Attraction_Review-g2530755-d2661353-Reviews-Rainbow_Waterfall-Sungai_Lembing_Pahang.html,OSM,Rainbow Waterfall,Rainbow Waterfall,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
3206,Public Park Playground,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Public Park Playground,Tanjong Gemok,,True,0.0,Free,,2.6648492,103.6206025,,OSM,Public Park/Playground,Public Park/Playground,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,category_reclassified_by_keyword;name_normalized
3207,Taman Sd9 9,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Taman Sd9 9,Bandar Sri Damansara,,True,0.0,Free,,3.1849817,101.6100075,,OSM,Taman Sd9/9,Taman Sd9/9,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,name_normalized
3208,Taman Tasik Selangor Cyber Valley,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Taman Tasik Selangor Cyber Valley,Cyberjaya,,True,0.0,Free,,2.9178916,101.626328,,OSM,Taman Tasik Selangor Cyber Valley,Taman Tasik Selangor Cyber Valley,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3209,Taman Tasik Cempaka,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Taman Tasik Cempaka,Bandar Baru Bangi,,True,0.0,Free,,2.9595079,101.7585538,,OSM,Taman Tasik Cempaka,Taman Tasik Cempaka,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3210,Taman Alam Indah,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Taman Alam Indah,Shah Alam,,True,0.0,Free,,3.0178656,101.5517892,,OSM,Taman Alam Indah,Taman Alam Indah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3211,Mbkt Park,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Mbkt Park,Kuala Terengganu,,True,0.0,Free,,5.3377603,103.1393452,,OSM,Mbkt Park,Mbkt Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3212,Lavender Garden Cameron,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Lavender Garden Cameron,Cameron Highlands,,True,0.0,Free,,4.5268438,101.4265498,,OSM,Lavender Garden Cameron,Lavender Garden Cameron,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3213,Istana Sri Angkasa,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Family,Tour Bus,Budget Hotel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Istana Sri Angkasa,Cameron Highlands,,True,0.0,Free,,4.4901214,101.3839717,,OSM,Istana Sri Angkasa,Istana Sri Angkasa,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3214,Zon Anggerik Park,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.6,0.0,Free,Zon Anggerik Park,Sungai Petani,,True,0.0,Free,,5.6372716,100.5398746,,OSM,Zon Anggerik Park,Zon Anggerik Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3215,Taman Eko Rimba Bukit Bakar,Kelantan,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Eko Rimba Bukit Bakar,,,True,0.0,Free,,5.7192534,102.2592878,https://jpnk.kelantan.gov.my/index.php/ms/component/content/article/97-hutan-lipur/197-bukit-bakar?Itemid=951,OSM,Taman Eko Rimba Bukit Bakar,Taman Eko Rimba Bukit Bakar,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3216,X Park Malaysia,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,X Park Malaysia,,,True,0.0,Free,,1.3951947,103.6246418,https://www.xparkmalaysia.com/,OSM,X Park Malaysia,X Park Malaysia,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3217,Bandar Mutiara Park,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Bandar Mutiara Park,Sungai Petani,,True,0.0,Free,,5.6351822,100.5464587,,OSM,Bandar Mutiara Park,Bandar Mutiara Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
3218,Aman Parc Lakeside,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Eco & Wildlife,Nature & Outdoors,attraction,4.6,0.0,Free,Aman Parc Lakeside,Sungai Petani,,True,0.0,Free,,5.6352232,100.4603763,,OSM,Aman Parc Lakeside,Aman Parc Lakeside,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
3219,Kak Nat'S Mini Cat Park,Kelantan,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Kak Nat'S Mini Cat Park,Pasir Pekan,,True,0.0,Free,,6.12467,102.2180302,,OSM,Kak Nat'S Mini Cat Park,Kak Nat'S Mini Cat Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3220,Langkawi Geopark Discovery Centre,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Boat,Homestay,Beach & Island,Nature & Outdoors,attraction,4.4,0.0,Free,Langkawi Geopark Discovery Centre,,,True,0.0,Free,,6.4048356,99.8576696,https://langkawigeopark.com.my/discovery-centre/,OSM,Langkawi Geopark Discovery Centre,Langkawi Geopark Discovery Centre,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
3221,Kolam Air Panas Felda Sungai Klah,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Kolam Air Panas Felda Sungai Klah,Sungkai,,True,0.0,Free,,3.9962068,101.3930166,,OSM,Kolam Air Panas Felda Sungai Klah,Kolam Air Panas Felda Sungai Klah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3222,Gunung Pulut,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Pulut,,,True,0.0,Free,,5.3685504,101.0820622,https://www.youtube.com/LipFung,OSM,Gunung Pulut,Gunung Pulut,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3223,Gunung Papulut,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Papulut,,,True,0.0,Free,,5.3577539,101.0910236,https://www.youtube.com/LipFung,OSM,Gunung Papulut,Gunung Papulut,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3224,Istana Raja Billah,Perak,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Taxi/Grab,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Istana Raja Billah,Papan,,True,0.0,Free,,4.5152917,101.0129952,,OSM,Istana Raja Billah,Istana Raja Billah,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3225,Istana Lama Raja Muda Perak,Perak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Solo,Car/Self-Drive,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.3,0.0,Free,Istana Lama Raja Muda Perak,Teluk Intan,,True,0.0,Free,,4.025666,101.0244799,,OSM,Istana Lama Raja Muda Perak,Istana Lama Raja Muda Perak,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3226,Istana Kinta,Perak,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Family,Car/Self-Drive,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Istana Kinta,Ipoh,,True,0.0,Free,,4.58823,101.0998188,,OSM,Istana Kinta,Istana Kinta,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3227,Istana Iskandariah,Perak,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Couple,Public Transport,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Istana Iskandariah,Kuala Kangsar,,True,0.0,Free,,4.7621164,100.9549124,,OSM,Istana Iskandariah,Istana Iskandariah,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3228,Dream Forest Langkawi,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Boat,Homestay,Beach & Island,Nature & Outdoors,attraction,4.4,0.0,Free,Dream Forest Langkawi,,,True,0.0,Free,,6.3652412,99.7917609,https://dreamforest.com.my/,OSM,Dream Forest Langkawi,Dream Forest Langkawi,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
3229,Dataran Putra,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Hostel,City & Urban,Nature & Outdoors,attraction,4.5,0.0,Free,Dataran Putra,Bandar Putra,,True,0.0,Free,,5.3727058,100.5415173,,OSM,Dataran Putra,Dataran Putra,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
3230,Hutan Lipur Kuala Woh,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Hutan Lipur Kuala Woh,Tapah,,True,0.0,Free,,4.2436888,101.3215951,,OSM,Hutan Lipur Kuala Woh,Hutan Lipur Kuala Woh,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3231,Harvard Park,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Harvard Park,Kampar,,True,0.0,Free,,4.3288211,101.1320568,,OSM,Harvard Park,Harvard Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3232,Taman Hidupan Liar,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Car/Self-Drive,Homestay,Beach & Island,Sightseeing & Tours,attraction,4.6,0.0,Free,Taman Hidupan Liar,,,True,0.0,Free,,6.3873384,99.8616813,https://langkawiwildlifepark.com/,OSM,Taman Hidupan Liar,Taman Hidupan Liar,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,
3233,Starsky Restaurant & Lounge,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Group of Friends,Car/Self-Drive,Homestay,Food & Culinary,Food & Dining,attraction,4.3,0.0,Free,Starsky Restaurant & Lounge,,,True,0.0,Free,,6.124542,100.3675055,https://www.menaraalorsetar.com.my/en/facilities/starsky-restaurant-lounge,OSM,Starsky Restaurant & Lounge,Starsky Restaurant & Lounge,Food & Dining,Food & Culinary,Food,Free,Free,True,source_price,
3234,Padang Taman Sri Taman 2,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Homestay,Eco & Wildlife,Nature & Outdoors,attraction,4.4,0.0,Free,Padang Taman Sri Taman 2,Alor Setar,,True,0.0,Free,,6.1399784,100.3779096,,OSM,Padang Taman Sri Taman 2,Padang Taman Sri Taman 2,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
3235,Perdana Park Homes,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Perdana Park Homes,Taman Sri Pulai Perdana,,True,0.0,Free,,1.5656174,103.610001,,OSM,Perdana Park Homes,Perdana Park Homes,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3236,Rini Hills Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Rini Hills Park,Skudai,,True,0.0,Free,,1.5177105,103.6468369,,OSM,Rini Hills Park,Rini Hills Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3237,Pulai Perdana Recreation Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Pulai Perdana Recreation Park,Pulai Johor,,True,0.0,Free,,1.5600271,103.6121707,,OSM,Pulai Perdana Recreation Park,Pulai Perdana Recreation Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3238,Taman Reakrasi Bandar Ioi,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Taman Reakrasi Bandar Ioi,Segamat,,True,0.0,Free,,2.4980847,102.8691893,,OSM,Taman Reakrasi Bandar Ioi,Taman Reakrasi Bandar Ioi,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3239,Taman Negara Johor Gunung Ledang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Taman Negara Johor Gunung Ledang,,,True,0.0,Free,,2.3736604,102.6143924,http://www.johorparks.gov.my/en/parks/gunung-ledang,OSM,Taman Negara Johor Gunung Ledang,Taman Negara Johor Gunung Ledang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3240,Taman Laut Sultan Iskandar,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Taman Laut Sultan Iskandar,,,True,0.0,Free,,2.3549383,104.1928885,http://www.johorparks.gov.my/en/parks/taman-laut-sultan-iskandar,OSM,Taman Laut Sultan Iskandar,Taman Laut Sultan Iskandar,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3241,T6 Playpark,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,T6 Playpark,Kluang,,True,0.0,Free,,1.9566156,103.3852967,,OSM,T6 Playpark,T6 Playpark,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3242,Setia Indah Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Setia Indah Park,Johor Bahru,,True,0.0,Free,,1.5706173,103.7578148,,OSM,Setia Indah Park,Setia Indah Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3243,Running Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Running Park,Bandar Baru Permas Jaya,,True,0.0,Free,,1.5056412,103.824441,,OSM,Running Park,Running Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3244,Penggaram Waterfront Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Penggaram Waterfront Park,Batu Pahat,,True,0.0,Free,,1.8570554,102.9247168,,OSM,Penggaram Waterfront Park,Penggaram Waterfront Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3245,Park Of Temple De Fu,Johor,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Car/Self-Drive,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.3,0.0,Free,Park Of Temple De Fu,Endau,,True,0.0,Free,,2.6222228,103.6443137,,OSM,Park Of Temple De Fu,Park Of Temple De Fu,Nature & Outdoors,Heritage & Culture,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
3246,Park Taman Sri Fajar,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Park Taman Sri Fajar,Endau,,True,0.0,Free,,2.6469818,103.6292281,,OSM,Park Taman Sri Fajar,Park Taman Sri Fajar,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3247,Park Of Che Ru Kho,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Park Of Che Ru Kho,Endau,,True,0.0,Free,,2.6493375,103.6313794,,OSM,Park Of Che Ru Kho,Park Of Che Ru Kho,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3248,Dataran Sri Kemang Recreation Park,Negeri Sembilan,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Sri Kemang Recreation Park,Port Dickson,,True,0.0,Free,,2.4544418,101.8561933,,OSM,Dataran Sri Kemang Recreation Park,Dataran Sri Kemang Recreation Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
3249,Bukit Batu Lebah Forest Eco Park,Melaka,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Eco & Wildlife,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Batu Lebah Forest Eco Park,,,True,0.0,Free,,2.3993789,102.4297495,https://tamanekorimbabukitbatulebah.jimdofree.com/,OSM,Bukit Batu Lebah Forest Eco Park,Bukit Batu Lebah Forest Eco Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
3250,Taman Tasik Ketitir,Kelantan,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Taxi/Grab,Homestay,Eco & Wildlife,Nature & Outdoors,attraction,4.4,0.0,Free,Taman Tasik Ketitir,Gua Musang,,True,0.0,Free,,4.8653787,101.9559393,,OSM,Taman Tasik Ketitir,Taman Tasik Ketitir,Nature & Outdoors,Eco & Wildlife,Nature,Free,Free,True,source_price,
3251,Taman Seni Budaya Johor,Johor,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Family,Car/Self-Drive,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.2,0.0,Free,Taman Seni Budaya Johor,Johor Bahru,,True,0.0,Free,,1.4729698,103.7452949,,OSM,Taman Seni Budaya Johor,Taman Seni Budaya Johor,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
3252,Taman Rekreasi Tasik Y,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Taman Rekreasi Tasik Y,Batu Pahat,,True,0.0,Free,,1.8431598,102.9363098,,OSM,Taman Rekreasi Tasik Y,Taman Rekreasi Tasik Y,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
3253,• Jalan Bijeh Timah,Perak,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Solo,Tour Bus,Mid-range Hotel,City & Urban,Sightseeing & Tours,attraction,4.2,,Unknown,• Jalan Bijeh Timah,Ipoh,,True,,Unknown,,4.5940709,101.0783356,,Google Places,Jalan Bijeh Timah,• Jalan Bijeh Timah,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3254,Jinxiyan,Sabah,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,1 Day,Group of Friends,Car/Self-Drive,Mid-range Hotel,Eco & Wildlife,Sightseeing & Tours,attraction,4.4,,Unknown,Jinxiyan,Kota Kinabalu,,True,,Unknown,,5.986385599999999,116.0777281,,Google Places,Jinxiyan,Jinxiyan,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3255,Rumahundang,Terengganu,Budget,Premium,True,low,unknown_price_category_default_nature,Nature,1 Day,Group of Friends,Taxi/Grab,Resort/Luxury Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,,Unknown,Rumahundang,Kuala Terengganu,,True,,Unknown,,5.227669,103.127407,,Google Places,Rumahundang,Rumahundang,Nature & Outdoors,Highland & Nature,Nature,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3256,Lubuk Jenggooow,Terengganu,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Solo,Car/Self-Drive,Mid-range Hotel,Eco & Wildlife,Sightseeing & Tours,attraction,4.4,,Unknown,Lubuk Jenggooow,Kuala Terengganu,,True,,Unknown,,5.275296,103.075598,,Google Places,Lubuk Jenggooow,Lubuk Jenggooow,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3257,Mbks Photo Frame,Sarawak,Budget,Premium,True,low,unknown_price_public_or_low_cost_keyword,Sightseeing,2-3 Days,Family,Flight,Resort/Luxury Hotel,Beach & Island,Sightseeing & Tours,attraction,4.6,,Unknown,Mbks Photo Frame,Kuching,,True,,Unknown,,1.552026,110.3640557,,Google Places,Mbks Photo Frame,Mbks Photo Frame,Sightseeing & Tours,Beach & Island,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
3258,Lorong Dewan Street,Sabah,Budget,Premium,True,low,unknown_price_category_default_sightseeing,Sightseeing,2-3 Days,Couple,Car/Self-Drive,Boutique Hotel,City & Urban,Sightseeing & Tours,attraction,4.5,,Unknown,Lorong Dewan Street,Kota Kinabalu,,True,,Unknown,,5.9838156,116.0780765,,Google Places,Lorong Dewan Street,Lorong Dewan Street,Sightseeing & Tours,City & Urban,Sightseeing,Unknown,Premium (RM151–RM500),True,unknown_not_imputed,price_unknown_not_imputed
